is_attack,attack_cat,dur,proto,sbytes,dbytes,ct_src_ltm,ct_dst_ltm
Normal,Normal,1.1e-05,udp,496,0,1,1
Normal,Normal,8e-06,udp,1762,0,1,1
Normal,Normal,5e-06,udp,1068,0,1,1
Normal,Normal,6e-06,udp,900,0,2,2
Normal,Normal,1e-05,udp,2126,0,2,2
Normal,Normal,3e-06,udp,784,0,2,2
Normal,Normal,6e-06,udp,1960,0,2,2
Normal,Normal,2.8e-05,udp,1384,0,1,1
Normal,Normal,0.0,arp,46,0,2,2
Normal,Normal,0.0,arp,46,0,2,2
Normal,Normal,0.0,arp,46,0,2,2
Normal,Normal,0.0,arp,46,0,2,2
Normal,Normal,4e-06,udp,1454,0,1,1
Normal,Normal,7e-06,udp,2062,0,1,1
Normal,Normal,1.1e-05,udp,2040,0,1,1
Normal,Normal,4e-06,udp,1052,0,2,1
Normal,Normal,3e-06,udp,314,0,1,1
Normal,Normal,1e-05,udp,1774,0,1,1
Normal,Normal,2e-06,udp,1568,0,1,1
Normal,Normal,4e-06,udp,2054,0,2,1
Normal,Normal,1e-05,udp,2170,0,1,1
Normal,Normal,9e-06,udp,202,0,1,1
Normal,Normal,1e-05,udp,1334,0,1,1
Normal,Normal,5e-06,udp,2058,0,2,2
Normal,Normal,3e-06,udp,286,0,2,2
Normal,Normal,7e-06,udp,1500,0,2,2
Normal,Normal,6e-06,udp,902,0,2,2
Normal,Normal,2e-06,udp,1626,0,2,1
Normal,Normal,7e-06,udp,364,0,2,1
Normal,Normal,1.434166,tcp,530,268,1,1
Normal,Normal,7e-06,udp,730,0,2,1
Normal,Normal,1.924287,tcp,530,354,1,1
Normal,Normal,2.773779,tcp,7954,354,2,1
Normal,Normal,1e-05,udp,794,0,1,1
Normal,Normal,1.465041,tcp,2516,354,2,2
Normal,Normal,0.983874,tcp,816,1172,1,1
Normal,Normal,0.714182,tcp,534,268,2,1
Normal,Normal,59.995674,arp,92,0,2,2
Normal,Normal,59.995678,arp,92,0,2,2
Normal,Normal,59.995674,arp,92,0,2,2
Normal,Normal,1.535254,tcp,826,1266,1,1
Normal,Normal,59.995678,arp,92,0,2,2
Normal,Normal,0.757295,tcp,534,268,1,1
Normal,Normal,0.759306,tcp,534,354,1,1
Normal,Normal,1.294036,tcp,2516,354,1,1
Normal,Normal,1.059359,tcp,830,1134,3,1
Normal,Normal,0.624048,tcp,534,268,1,1
Normal,Normal,1.190292,tcp,2516,354,1,1
Normal,Normal,0.999472,tcp,534,268,2,1
Normal,Normal,0.990548,tcp,804,1414,1,18
Normal,Normal,0.655618,tcp,534,268,1,1
Normal,Normal,0.810167,tcp,2516,354,1,1
Normal,Normal,14.846565,tcp,990,0,3,4
Normal,Normal,14.846565,tcp,990,0,3,4
Normal,Normal,14.846565,tcp,990,0,3,4
Normal,Normal,1.588788,tcp,534,268,2,1
Normal,Normal,1.151373,tcp,2516,354,10,1
Normal,Normal,14.355273,tcp,900,0,10,9
Normal,Normal,14.355273,tcp,900,0,10,9
Normal,Normal,14.355273,tcp,900,0,10,9
Normal,Normal,15.53235,tcp,900,0,10,9
Normal,Normal,15.590977,tcp,900,0,10,9
Normal,Normal,15.53235,tcp,900,0,10,9
Normal,Normal,15.53235,tcp,900,0,10,9
Normal,Normal,15.590977,tcp,900,0,10,9
Normal,Normal,15.590977,tcp,900,0,10,9
Normal,Normal,1.074494,tcp,2516,354,3,1
Normal,Normal,15.979696,tcp,810,0,3,2
Normal,Normal,15.226356,tcp,810,0,3,2
Normal,Normal,15.979696,tcp,810,0,4,4
Normal,Normal,15.226356,tcp,810,0,4,4
Normal,Normal,15.979696,tcp,810,0,4,4
Normal,Normal,1.303518,tcp,898,1120,2,1
Normal,Normal,15.226356,tcp,810,0,4,4
Normal,Normal,15.374568,tcp,720,0,3,3
Normal,Normal,15.374568,tcp,720,0,3,3
Normal,Normal,15.374568,tcp,720,0,3,3
Normal,Normal,0.582389,tcp,534,268,1,1
Normal,Normal,16.448053,tcp,630,0,10,9
Normal,Normal,16.76671,tcp,630,0,10,9
Normal,Normal,16.76671,tcp,630,0,10,9
Normal,Normal,15.40279,tcp,630,0,10,9
Normal,Normal,16.448053,tcp,630,0,10,9
Normal,Normal,2.462774,tcp,2516,354,10,1
Normal,Normal,1.047169,tcp,534,354,2,1
Normal,Normal,16.76671,tcp,630,0,10,9
Normal,Normal,16.448053,tcp,630,0,10,9
Normal,Normal,15.40279,tcp,630,0,10,9
Normal,Normal,15.40279,tcp,630,0,10,9
Normal,Normal,2.417396,tcp,896,1142,1,2
Normal,Normal,16.044233,tcp,540,0,5,5
Normal,Normal,16.352577,tcp,540,0,5,5
Normal,Normal,16.044233,tcp,540,0,1,2
Normal,Normal,16.352577,tcp,540,0,5,5
Normal,Normal,16.352577,tcp,540,0,5,5
Normal,Normal,16.044233,tcp,540,0,5,5
Normal,Normal,0.664512,tcp,534,268,2,1
Normal,Normal,0.860208,tcp,534,268,1,1
Normal,Normal,15.102544,tcp,450,0,3,2
